Resolution,Noise Type,Image Name,PSNR,SSIM,Correlation
1024x1024,Gaussian,pexels-photo-1133505.png,27.50323087,0.386094635,-0.099486505
1024x1024,Gaussian,pexels-photo-1126387.png,27.79663477,0.372708668,0.106478334
1024x1024,Gaussian,pexels-photo-1133504.png,27.29570669,0.399525522,0.019866445
1024x1024,Gaussian,pexels-photo-1128797.png,27.37459975,0.402381825,0.01667373
1024x1024,Gaussian,pexels-photo-1136571.png,28.24418102,0.368274047,0.008016977
1024x1024,Gaussian,pexels-photo-1142948.png,27.55824945,0.430281229,-0.036808792
1024x1024,Gaussian,pexels-photo-1146242.png,27.44942389,0.450996884,0.197790229
1024x1024,Gaussian,pexels-photo-1146707.png,27.55867713,0.495350773,-0.001257216
1024x1024,Gaussian,pexels-photo-1143006.png,27.51008749,0.445332336,-0.120256166
1024x1024,Gaussian,pexels-photo-1146135.png,27.39744579,0.442122342,0.122079154
1024x1024,Gaussian,pexels-photo-1144176.png,29.77613966,0.34001896,0.03645064
1024x1024,Gaussian,pexels-photo-1151282.png,27.72419089,0.378913705,0.059506582
1024x1024,Gaussian,pexels-photo-1154510.png,27.37142882,0.416505143,-0.131363752
1024x1024,Gaussian,pexels-photo-1165981.png,27.63231516,0.38048271,0.012733162
1024x1024,Gaussian,pexels-photo-1146714.png,27.64411805,0.550899424,0.018160941
1024x1024,Gaussian,pexels-photo-1146708.png,27.34075399,0.412880615,-0.047454465
1024x1024,Gaussian,pexels-photo-1172207.png,28.57200903,0.336455323,0.036187591
1024x1024,Gaussian,pexels-photo-1166209.png,27.41484753,0.415655368,0.09323267
1024x1024,Gaussian,pexels-photo-1170572.png,27.30279045,0.408832259,-0.081053131
1024x1024,Gaussian,pexels-photo-1172064.png,28.68206998,0.35957946,0.059499301
1024x1024,Gaussian,pexels-photo-1179225.png,29.11530637,0.326820409,-0.105299779
1024x1024,Gaussian,pexels-photo-1173777.png,28.93386451,0.3239649,-0.036178814
1024x1024,Gaussian,pexels-photo-1165991.png,27.91994438,0.377165207,0.209713244
1024x1024,Gaussian,pexels-photo-1183021.png,27.73865112,0.39044461,0.06310347
1024x1024,Gaussian,pexels-photo-1192671.png,29.123786,0.361649246,-0.087800218
1024x1024,Gaussian,pexels-photo-117843.png,27.45611819,0.383687617,0.194953921
1024x1024,Gaussian,pexels-photo-1183099.png,27.33359882,0.46106573,0.008798867
1024x1024,Gaussian,pexels-photo-1179229.png,27.53852262,0.392352482,0.054879769
1024x1024,Gaussian,pexels-photo-1198802.png,28.70463896,0.351543902,0.030442454
1024x1024,Gaussian,pexels-photo-1198817.png,27.44501904,0.387074653,0.118803222
1024x1024,Gaussian,pexels-photo-1200861.png,27.52515312,0.400407319,0.116694637
1024x1024,Gaussian,pexels-photo-1201673.png,28.70432137,0.371715918,0.032481853
1024x1024,Gaussian,pexels-photo-1209978.png,27.48609577,0.428193581,0.001683579
1024x1024,Gaussian,pexels-photo-1229846.png,27.41078408,0.408477864,-0.028232803
1024x1024,Gaussian,pexels-photo-1261728.png,27.58843033,0.403047926,-0.043274936
1024x1024,Gaussian,pexels-photo-1268871.png,27.29559342,0.383659955,0.031632052
1024x1024,Gaussian,pexels-photo-1266810.png,27.47167006,0.492957352,-0.029455472
1024x1024,Gaussian,pexels-photo-126271.png,27.95446266,0.36791716,-0.060096787
1024x1024,Gaussian,pexels-photo-1211574.png,27.42971527,0.420029621,-0.051807386
1024x1024,Gaussian,pexels-photo-127160.png,27.47542395,0.480892204,-0.050713231
1024x1024,Gaussian,pexels-photo-127673.png,29.34749383,0.348717578,0.08383389
1024x1024,Gaussian,pexels-photo-1285625.png,27.52970951,0.455917417,0.07520147
1024x1024,Gaussian,pexels-photo-1271620.png,27.36096172,0.473937548,-0.138472808
1024x1024,Gaussian,pexels-photo-1287075.png,27.99797386,0.297225944,-0.014067611
1024x1024,Gaussian,pexels-photo-1287145.png,28.2317522,0.302647702,-0.009399168
1024x1024,Gaussian,pexels-photo-1302991.png,27.50233021,0.418210563,0.099001787
1024x1024,Gaussian,pexels-photo-1287089.png,27.58554122,0.502178939,-0.086266366
1024x1024,Gaussian,pexels-photo-1292115.png,29.85513406,0.3377635,0.017097109
1024x1024,Gaussian,pexels-photo-132037.png,30.29233907,0.350145297,0.286120573
1024x1024,Gaussian,pexels-photo-131723.png,27.30866199,0.406690234,0.162695244
1024x1024,Gaussian,pexels-photo-1323550.png,27.44996788,0.43032628,0.00022381
1024x1024,Gaussian,pexels-photo-130879.png,27.37582979,0.452737268,-0.141136976
1024x1024,Gaussian,pexels-photo-1287081.png,27.58754293,0.461968829,0.158213064
1024x1024,Gaussian,pexels-photo-1313807.png,27.36911792,0.396484651,0.046101956
1024x1024,Gaussian,pexels-photo-1320674.png,27.52775526,0.439761329,0.008483322
1024x1024,Gaussian,pexels-photo-1324803.png,27.48291432,0.47894609,0.048307365
1024x1024,Gaussian,pexels-photo-132428.png,27.31564083,0.467331527,0.004788757
1024x1024,Gaussian,pexels-photo-133074.png,27.45615472,0.42869288,0.171683032
1024x1024,Gaussian,pexels-photo-1352196.png,29.68108496,0.345697439,0.140467292
1024x1024,Gaussian,pexels-photo-135157.png,27.20062229,0.470048718,0.064313283
1024x1024,Gaussian,pexels-photo-136317.png,29.82923327,0.358140697,0.042118879
1024x1024,Gaussian,pexels-photo-1366630.png,27.3045724,0.479271807,0.009814575
1024x1024,Gaussian,pexels-photo-1353126.png,29.60466664,0.349909454,0.101243966
1024x1024,Gaussian,pexels-photo-1366909.png,28.74673119,0.346999314,-0.344244785
1024x1024,Gaussian,pexels-photo-1366901.png,27.38327047,0.425006252,0.044886399
1024x1024,Gaussian,pexels-photo-1362484.png,29.42268044,0.338478181,-0.004832508
1024x1024,Gaussian,pexels-photo-1365109.png,27.8489878,0.388954732,-0.159123022
1024x1024,Gaussian,pexels-photo-1366907.png,27.54905711,0.393155112,-0.066965172
1024x1024,Gaussian,pexels-photo-1366913.png,27.96101969,0.362027368,0.065008305
